"Time (CET/CEST)","Day-ahead Total Load Forecast [MW] - BZN|DE-LU","Actual Total Load [MW] - BZN|DE-LU"
"04.01.2024 14:00 - 04.01.2024 14:15","62889","64894"
"04.01.2024 14:15 - 04.01.2024 14:30","62862","64448"
"04.01.2024 14:30 - 04.01.2024 14:45","62725","64155"
"04.01.2024 14:45 - 04.01.2024 15:00","62278","63876"
"04.01.2024 15:00 - 04.01.2024 15:15","62521","64159"
"04.01.2024 15:15 - 04.01.2024 15:30","62346","63722"
"04.01.2024 15:30 - 04.01.2024 15:45","62243","63511"
"04.01.2024 15:45 - 04.01.2024 16:00","62107","63206"
"04.01.2024 16:00 - 04.01.2024 16:15","62329","63840"
"04.01.2024 16:15 - 04.01.2024 16:30","62364","64050"
"04.01.2024 16:30 - 04.01.2024 16:45","62726","64785"
"04.01.2024 16:45 - 04.01.2024 17:00","62801","65085"
"04.01.2024 17:00 - 04.01.2024 17:15","63424","66068"
"04.01.2024 17:15 - 04.01.2024 17:30","64302","66327"
"04.01.2024 17:30 - 04.01.2024 17:45","64286","66462"
"04.01.2024 17:45 - 04.01.2024 18:00","65190","66519"
"04.01.2024 18:00 - 04.01.2024 18:15","65349","65978"
"04.01.2024 18:15 - 04.01.2024 18:30","65300","65600"
"04.01.2024 18:30 - 04.01.2024 18:45","65217","65385"
"04.01.2024 18:45 - 04.01.2024 19:00","64717","64976"
"04.01.2024 19:00 - 04.01.2024 19:15","64515","64892"
"04.01.2024 19:15 - 04.01.2024 19:30","63749","64408"
"04.01.2024 19:30 - 04.01.2024 19:45","63164","63802"
"04.01.2024 19:45 - 04.01.2024 20:00","62903","62848"
"04.01.2024 20:00 - 04.01.2024 20:15","62030","61462"
"04.01.2024 20:15 - 04.01.2024 20:30","60856","60526"
"04.01.2024 20:30 - 04.01.2024 20:45","60145","60023"
"04.01.2024 20:45 - 04.01.2024 21:00","59047","58992"
"04.01.2024 21:00 - 04.01.2024 21:15","58100","58046"
"04.01.2024 21:15 - 04.01.2024 21:30","57479","57460"
"04.01.2024 21:30 - 04.01.2024 21:45","56609","56488"
"04.01.2024 21:45 - 04.01.2024 22:00","55760","55901"
"04.01.2024 22:00 - 04.01.2024 22:15","55022","55205"
"04.01.2024 22:15 - 04.01.2024 22:30","54209","54402"
"04.01.2024 22:30 - 04.01.2024 22:45","53426","53550"
"04.01.2024 22:45 - 04.01.2024 23:00","52292","52822"
"04.01.2024 23:00 - 04.01.2024 23:15","50941","51665"
"04.01.2024 23:15 - 04.01.2024 23:30","50028","50879"
"04.01.2024 23:30 - 04.01.2024 23:45","49426","50406"
"04.01.2024 23:45 - 05.01.2024 00:00","48743","49363"
"05.01.2024 00:00 - 05.01.2024 00:15","48583","48189"
"05.01.2024 00:15 - 05.01.2024 00:30","48597","47370"
"05.01.2024 00:30 - 05.01.2024 00:45","47984","47166"
"05.01.2024 00:45 - 05.01.2024 01:00","47513","46664"
"05.01.2024 01:00 - 05.01.2024 01:15","46310","46409"
"05.01.2024 01:15 - 05.01.2024 01:30","46037","45818"
"05.01.2024 01:30 - 05.01.2024 01:45","44833","45461"
"05.01.2024 01:45 - 05.01.2024 02:00","45090","45064"
"05.01.2024 02:00 - 05.01.2024 02:15","45870","44636"
"05.01.2024 02:15 - 05.01.2024 02:30","44438","44541"
"05.01.2024 02:30 - 05.01.2024 02:45","44596","44348"
"05.01.2024 02:45 - 05.01.2024 03:00","45646","44664"
"05.01.2024 03:00 - 05.01.2024 03:15","45483","44854"
"05.01.2024 03:15 - 05.01.2024 03:30","45221","44785"
"05.01.2024 03:30 - 05.01.2024 03:45","45162","44742"
"05.01.2024 03:45 - 05.01.2024 04:00","46073","44914"
"05.01.2024 04:00 - 05.01.2024 04:15","46747","45513"
"05.01.2024 04:15 - 05.01.2024 04:30","46894","45971"
"05.01.2024 04:30 - 05.01.2024 04:45","47307","46205"
"05.01.2024 04:45 - 05.01.2024 05:00","45494","46739"
"05.01.2024 05:00 - 05.01.2024 05:15","46443","47768"
"05.01.2024 05:15 - 05.01.2024 05:30","47218","48325"
"05.01.2024 05:30 - 05.01.2024 05:45","48108","48640"
"05.01.2024 05:45 - 05.01.2024 06:00","49726","49530"
"05.01.2024 06:00 - 05.01.2024 06:15","52005","51494"
"05.01.2024 06:15 - 05.01.2024 06:30","53544","52853"
"05.01.2024 06:30 - 05.01.2024 06:45","54674","53990"
"05.01.2024 06:45 - 05.01.2024 07:00","55849","55021"
"05.01.2024 07:00 - 05.01.2024 07:15","57338","56706"
"05.01.2024 07:15 - 05.01.2024 07:30","58227","58333"
"05.01.2024 07:30 - 05.01.2024 07:45","58942","59489"
"05.01.2024 07:45 - 05.01.2024 08:00","59727","60572"
"05.01.2024 08:00 - 05.01.2024 08:15","60504","61462"
"05.01.2024 08:15 - 05.01.2024 08:30","61021","62099"
"05.01.2024 08:30 - 05.01.2024 08:45","61601","62706"
"05.01.2024 08:45 - 05.01.2024 09:00","61784","62778"
"05.01.2024 09:00 - 05.01.2024 09:15","61971","63182"
"05.01.2024 09:15 - 05.01.2024 09:30","62615","63773"
"05.01.2024 09:30 - 05.01.2024 09:45","62884","64026"
"05.01.2024 09:45 - 05.01.2024 10:00","63007","64469"
"05.01.2024 10:00 - 05.01.2024 10:15","63098","64468"
"05.01.2024 10:15 - 05.01.2024 10:30","63022","64535"
"05.01.2024 10:30 - 05.01.2024 10:45","63341","64733"
"05.01.2024 10:45 - 05.01.2024 11:00","63432","64907"
"05.01.2024 11:00 - 05.01.2024 11:15","63906","65292"
