"Time (CET/CEST)","Day-ahead Total Load Forecast [MW] - BZN|PL","Actual Total Load [MW] - BZN|PL"
"14.12.2024 14:30 - 14.12.2024 14:45","21100","20897"
"14.12.2024 14:45 - 14.12.2024 15:00","21100","20994"
"14.12.2024 15:00 - 14.12.2024 15:15","21100","21028"
"14.12.2024 15:15 - 14.12.2024 15:30","21150","21042"
"14.12.2024 15:30 - 14.12.2024 15:45","21350","21155"
"14.12.2024 15:45 - 14.12.2024 16:00","21500","21353"
"14.12.2024 16:00 - 14.12.2024 16:15","21600","21419"
"14.12.2024 16:15 - 14.12.2024 16:30","21600","21437"
"14.12.2024 16:30 - 14.12.2024 16:45","21600","21278"
"14.12.2024 16:45 - 14.12.2024 17:00","21550","21383"
"14.12.2024 17:00 - 14.12.2024 17:15","21500","21273"
"14.12.2024 17:15 - 14.12.2024 17:30","21450","21239"
"14.12.2024 17:30 - 14.12.2024 17:45","21350","20933"
"14.12.2024 17:45 - 14.12.2024 18:00","21300","20854"
"14.12.2024 18:00 - 14.12.2024 18:15","21200","20893"
"14.12.2024 18:15 - 14.12.2024 18:30","21100","20786"
"14.12.2024 18:30 - 14.12.2024 18:45","21050","20783"
"14.12.2024 18:45 - 14.12.2024 19:00","20950","20519"
"14.12.2024 19:00 - 14.12.2024 19:15","20850","20633"
"14.12.2024 19:15 - 14.12.2024 19:30","20750","20523"
"14.12.2024 19:30 - 14.12.2024 19:45","20650","20409"
"14.12.2024 19:45 - 14.12.2024 20:00","20550","20338"
"14.12.2024 20:00 - 14.12.2024 20:15","20400","20099"
"14.12.2024 20:15 - 14.12.2024 20:30","20250","19875"
"14.12.2024 20:30 - 14.12.2024 20:45","20100","19809"
"14.12.2024 20:45 - 14.12.2024 21:00","19900","19534"
"14.12.2024 21:00 - 14.12.2024 21:15","19600","19238"
"14.12.2024 21:15 - 14.12.2024 21:30","19300","18856"
"14.12.2024 21:30 - 14.12.2024 21:45","19050","18492"
"14.12.2024 21:45 - 14.12.2024 22:00","18800","17990"
"14.12.2024 22:00 - 14.12.2024 22:15","18550","18025"
"14.12.2024 22:15 - 14.12.2024 22:30","18300","17814"
"14.12.2024 22:30 - 14.12.2024 22:45","18050","17296"
"14.12.2024 22:45 - 14.12.2024 23:00","17750","17232"
"14.12.2024 23:00 - 14.12.2024 23:15","17450","16923"
"14.12.2024 23:15 - 14.12.2024 23:30","17150","16550"
"14.12.2024 23:30 - 14.12.2024 23:45","16850","16315"
"14.12.2024 23:45 - 15.12.2024 00:00","16600","16008"
"15.12.2024 00:00 - 15.12.2024 00:15","16150","15834"
"15.12.2024 00:15 - 15.12.2024 00:30","16000","15707"
"15.12.2024 00:30 - 15.12.2024 00:45","15850","15335"
"15.12.2024 00:45 - 15.12.2024 01:00","15700","15252"
"15.12.2024 01:00 - 15.12.2024 01:15","15550","15111"
"15.12.2024 01:15 - 15.12.2024 01:30","15400","14903"
"15.12.2024 01:30 - 15.12.2024 01:45","15250","14906"
"15.12.2024 01:45 - 15.12.2024 02:00","15100","14720"
"15.12.2024 02:00 - 15.12.2024 02:15","14950","14479"
"15.12.2024 02:15 - 15.12.2024 02:30","14850","14656"
"15.12.2024 02:30 - 15.12.2024 02:45","14800","14639"
"15.12.2024 02:45 - 15.12.2024 03:00","14750","14550"
"15.12.2024 03:00 - 15.12.2024 03:15","14750","14465"
"15.12.2024 03:15 - 15.12.2024 03:30","14700","14352"
"15.12.2024 03:30 - 15.12.2024 03:45","14650","14360"
"15.12.2024 03:45 - 15.12.2024 04:00","14650","14354"
"15.12.2024 04:00 - 15.12.2024 04:15","14650","14361"
"15.12.2024 04:15 - 15.12.2024 04:30","14750","14323"
"15.12.2024 04:30 - 15.12.2024 04:45","14750","14321"
"15.12.2024 04:45 - 15.12.2024 05:00","14800","14279"
"15.12.2024 05:00 - 15.12.2024 05:15","14900","14547"
"15.12.2024 05:15 - 15.12.2024 05:30","15000","14566"
"15.12.2024 05:30 - 15.12.2024 05:45","15100","14538"
"15.12.2024 05:45 - 15.12.2024 06:00","15150","14623"
"15.12.2024 06:00 - 15.12.2024 06:15","15450","15098"
"15.12.2024 06:15 - 15.12.2024 06:30","15550","15295"
"15.12.2024 06:30 - 15.12.2024 06:45","15650","15457"
"15.12.2024 06:45 - 15.12.2024 07:00","15650","15712"
"15.12.2024 07:00 - 15.12.2024 07:15","15800","15672"
"15.12.2024 07:15 - 15.12.2024 07:30","15950","15807"
"15.12.2024 07:30 - 15.12.2024 07:45","16200","15939"
"15.12.2024 07:45 - 15.12.2024 08:00","16450","16137"
"15.12.2024 08:00 - 15.12.2024 08:15","16750","16343"
"15.12.2024 08:15 - 15.12.2024 08:30","17100","16633"
"15.12.2024 08:30 - 15.12.2024 08:45","17350","17046"
"15.12.2024 08:45 - 15.12.2024 09:00","17750","17294"
"15.12.2024 09:00 - 15.12.2024 09:15","18050","17492"
"15.12.2024 09:15 - 15.12.2024 09:30","18250","17691"
"15.12.2024 09:30 - 15.12.2024 09:45","18450","17844"
"15.12.2024 09:45 - 15.12.2024 10:00","18650","17915"
"15.12.2024 10:00 - 15.12.2024 10:15","18850","18102"
"15.12.2024 10:15 - 15.12.2024 10:30","19000","18334"
"15.12.2024 10:30 - 15.12.2024 10:45","19200","18260"
"15.12.2024 10:45 - 15.12.2024 11:00","19300","18433"
"15.12.2024 11:00 - 15.12.2024 11:15","19350","18355"
"15.12.2024 11:15 - 15.12.2024 11:30","19400","18473"
"15.12.2024 11:30 - 15.12.2024 11:45","19450","18418"
"15.12.2024 11:45 - 15.12.2024 12:00","19500","18786"
"15.12.2024 12:00 - 15.12.2024 12:15","19450","18717"
"15.12.2024 12:15 - 15.12.2024 12:30","19500","18997"
"15.12.2024 12:30 - 15.12.2024 12:45","19500","18678"
"15.12.2024 12:45 - 15.12.2024 13:00","19500","18769"
"15.12.2024 13:00 - 15.12.2024 13:15","19550","18953"
"15.12.2024 13:15 - 15.12.2024 13:30","19600","18996"
"15.12.2024 13:30 - 15.12.2024 13:45","19550","18897"
"15.12.2024 13:45 - 15.12.2024 14:00","19450","18746"
"15.12.2024 14:00 - 15.12.2024 14:15","19400","18872"
"15.12.2024 14:15 - 15.12.2024 14:30","19300","19064"
"15.12.2024 14:30 - 15.12.2024 14:45","19200","18699"
"15.12.2024 14:45 - 15.12.2024 15:00","19100","18995"
"15.12.2024 15:00 - 15.12.2024 15:15","19100","18817"
"15.12.2024 15:15 - 15.12.2024 15:30","19100","18918"
"15.12.2024 15:30 - 15.12.2024 15:45","19250","19153"
"15.12.2024 15:45 - 15.12.2024 16:00","19500","19428"
"15.12.2024 16:00 - 15.12.2024 16:15","19650","19532"
"15.12.2024 16:15 - 15.12.2024 16:30","19650","19409"
"15.12.2024 16:30 - 15.12.2024 16:45","19600","19560"
"15.12.2024 16:45 - 15.12.2024 17:00","19650","19578"
"15.12.2024 17:00 - 15.12.2024 17:15","19650","19371"
"15.12.2024 17:15 - 15.12.2024 17:30","19650","19406"
"15.12.2024 17:30 - 15.12.2024 17:45","19650","19571"
"15.12.2024 17:45 - 15.12.2024 18:00","19600","19449"
"15.12.2024 18:00 - 15.12.2024 18:15","19600","19575"
"15.12.2024 18:15 - 15.12.2024 18:30","19650","19490"
"15.12.2024 18:30 - 15.12.2024 18:45","19700","19485"
"15.12.2024 18:45 - 15.12.2024 19:00","19700","19550"
"15.12.2024 19:00 - 15.12.2024 19:15","19700","19653"
"15.12.2024 19:15 - 15.12.2024 19:30","19650","19547"
"15.12.2024 19:30 - 15.12.2024 19:45","19600","19443"
"15.12.2024 19:45 - 15.12.2024 20:00","19450","19251"
"15.12.2024 20:00 - 15.12.2024 20:15","19300","19203"
"15.12.2024 20:15 - 15.12.2024 20:30","19100","18966"
"15.12.2024 20:30 - 15.12.2024 20:45","18850","18680"
"15.12.2024 20:45 - 15.12.2024 21:00","18650","18361"
"15.12.2024 21:00 - 15.12.2024 21:15","18450","18137"
"15.12.2024 21:15 - 15.12.2024 21:30","18200","17767"
"15.12.2024 21:30 - 15.12.2024 21:45","17900","17686"
"15.12.2024 21:45 - 15.12.2024 22:00","17700","17502"
"15.12.2024 22:00 - 15.12.2024 22:15","17550","17246"
"15.12.2024 22:15 - 15.12.2024 22:30","17300","17129"
"15.12.2024 22:30 - 15.12.2024 22:45","17100","16966"
"15.12.2024 22:45 - 15.12.2024 23:00","16750","16530"
"15.12.2024 23:00 - 15.12.2024 23:15","16450","16119"
"15.12.2024 23:15 - 15.12.2024 23:30","16250","15955"
"15.12.2024 23:30 - 15.12.2024 23:45","15950","15769"
"15.12.2024 23:45 - 16.12.2024 00:00","15750","15789"
"16.12.2024 00:00 - 16.12.2024 00:15","15350","15579"
"16.12.2024 00:15 - 16.12.2024 00:30","15250","15189"
"16.12.2024 00:30 - 16.12.2024 00:45","15150","15176"
"16.12.2024 00:45 - 16.12.2024 01:00","15050","14920"
"16.12.2024 01:00 - 16.12.2024 01:15","14950","14965"
"16.12.2024 01:15 - 16.12.2024 01:30","14850","14831"
"16.12.2024 01:30 - 16.12.2024 01:45","14800","14744"
"16.12.2024 01:45 - 16.12.2024 02:00","14750","14615"
"16.12.2024 02:00 - 16.12.2024 02:15","14750","14621"
"16.12.2024 02:15 - 16.12.2024 02:30","14750","14652"
"16.12.2024 02:30 - 16.12.2024 02:45","14750","14519"
"16.12.2024 02:45 - 16.12.2024 03:00","14750","14406"
"16.12.2024 03:00 - 16.12.2024 03:15","14750","14525"
"16.12.2024 03:15 - 16.12.2024 03:30","14750","14419"
"16.12.2024 03:30 - 16.12.2024 03:45","14800","14634"
"16.12.2024 03:45 - 16.12.2024 04:00","14850","14609"
"16.12.2024 04:00 - 16.12.2024 04:15","15000","14748"
"16.12.2024 04:15 - 16.12.2024 04:30","15150","14800"
"16.12.2024 04:30 - 16.12.2024 04:45","15350","14918"
"16.12.2024 04:45 - 16.12.2024 05:00","15600","15251"
"16.12.2024 05:00 - 16.12.2024 05:15","16000","15415"
"16.12.2024 05:15 - 16.12.2024 05:30","16400","15824"
"16.12.2024 05:30 - 16.12.2024 05:45","16900","16183"
"16.12.2024 05:45 - 16.12.2024 06:00","17700","17071"
"16.12.2024 06:00 - 16.12.2024 06:15","19200","18417"
"16.12.2024 06:15 - 16.12.2024 06:30","19950","19073"
"16.12.2024 06:30 - 16.12.2024 06:45","20700","19760"
"16.12.2024 06:45 - 16.12.2024 07:00","21100","20267"
"16.12.2024 07:00 - 16.12.2024 07:15","21750","20957"
"16.12.2024 07:15 - 16.12.2024 07:30","21950","21183"
"16.12.2024 07:30 - 16.12.2024 07:45","22150","21364"
"16.12.2024 07:45 - 16.12.2024 08:00","22400","21445"
"16.12.2024 08:00 - 16.12.2024 08:15","22950","21959"
"16.12.2024 08:15 - 16.12.2024 08:30","23050","22422"
"16.12.2024 08:30 - 16.12.2024 08:45","23250","22506"
"16.12.2024 08:45 - 16.12.2024 09:00","23500","22644"
"16.12.2024 09:00 - 16.12.2024 09:15","23600","22564"
"16.12.2024 09:15 - 16.12.2024 09:30","23650","22820"
"16.12.2024 09:30 - 16.12.2024 09:45","23650","22717"
"16.12.2024 09:45 - 16.12.2024 10:00","23500","22474"
"16.12.2024 10:00 - 16.12.2024 10:15","23350","22415"
"16.12.2024 10:15 - 16.12.2024 10:30","23500","22701"
"16.12.2024 10:30 - 16.12.2024 10:45","23700","22773"
"16.12.2024 10:45 - 16.12.2024 11:00","23800","22902"
"16.12.2024 11:00 - 16.12.2024 11:15","23850","22882"
"16.12.2024 11:15 - 16.12.2024 11:30","23900","22520"
"16.12.2024 11:30 - 16.12.2024 11:45","23950","22959"
"16.12.2024 11:45 - 16.12.2024 12:00","23950","22894"
"16.12.2024 12:00 - 16.12.2024 12:15","23950","22929"
"16.12.2024 12:15 - 16.12.2024 12:30","23950","23003"
"16.12.2024 12:30 - 16.12.2024 12:45","23950","22977"
"16.12.2024 12:45 - 16.12.2024 13:00","24050","22899"
"16.12.2024 13:00 - 16.12.2024 13:15","24100","23022"
"16.12.2024 13:15 - 16.12.2024 13:30","24100","23059"
"16.12.2024 13:30 - 16.12.2024 13:45","23700","22786"
"16.12.2024 13:45 - 16.12.2024 14:00","23300","22304"
"16.12.2024 14:00 - 16.12.2024 14:15","23500","22467"
"16.12.2024 14:15 - 16.12.2024 14:30","23700","22783"
"16.12.2024 14:30 - 16.12.2024 14:45","23700","22714"
"16.12.2024 14:45 - 16.12.2024 15:00","23500","22559"
"16.12.2024 15:00 - 16.12.2024 15:15","23550","22428"
"16.12.2024 15:15 - 16.12.2024 15:30","23600","22789"
"16.12.2024 15:30 - 16.12.2024 15:45","23700","22949"
"16.12.2024 15:45 - 16.12.2024 16:00","23800","22828"
"16.12.2024 16:00 - 16.12.2024 16:15","23850","23223"
"16.12.2024 16:15 - 16.12.2024 16:30","23850","23007"
"16.12.2024 16:30 - 16.12.2024 16:45","23850","23048"
"16.12.2024 16:45 - 16.12.2024 17:00","23750","22902"
"16.12.2024 17:00 - 16.12.2024 17:15","23700","22948"
"16.12.2024 17:15 - 16.12.2024 17:30","23600","22736"
"16.12.2024 17:30 - 16.12.2024 17:45","23450","22829"
"16.12.2024 17:45 - 16.12.2024 18:00","23200","22442"
"16.12.2024 18:00 - 16.12.2024 18:15","23200","22465"
"16.12.2024 18:15 - 16.12.2024 18:30","23200","22406"
"16.12.2024 18:30 - 16.12.2024 18:45","23200","22684"
"16.12.2024 18:45 - 16.12.2024 19:00","23200","22458"
"16.12.2024 19:00 - 16.12.2024 19:15","23150","22321"
"16.12.2024 19:15 - 16.12.2024 19:30","23100","22353"
"16.12.2024 19:30 - 16.12.2024 19:45","23050","22294"
"16.12.2024 19:45 - 16.12.2024 20:00","22850","22059"
"16.12.2024 20:00 - 16.12.2024 20:15","22700","21807"
"16.12.2024 20:15 - 16.12.2024 20:30","22450","21646"
"16.12.2024 20:30 - 16.12.2024 20:45","22050","21264"
"16.12.2024 20:45 - 16.12.2024 21:00","21700","21354"
"16.12.2024 21:00 - 16.12.2024 21:15","21350","20711"
"16.12.2024 21:15 - 16.12.2024 21:30","20900","20140"
"16.12.2024 21:30 - 16.12.2024 21:45","20400","19948"
"16.12.2024 21:45 - 16.12.2024 22:00","19800","19186"
"16.12.2024 22:00 - 16.12.2024 22:15","19600","19063"
"16.12.2024 22:15 - 16.12.2024 22:30","19450","18725"
"16.12.2024 22:30 - 16.12.2024 22:45","19150","18454"
"16.12.2024 22:45 - 16.12.2024 23:00","18850","17905"
"16.12.2024 23:00 - 16.12.2024 23:15","18550","17625"
"16.12.2024 23:15 - 16.12.2024 23:30","18200","17301"
"16.12.2024 23:30 - 16.12.2024 23:45","17850","16999"
"16.12.2024 23:45 - 17.12.2024 00:00","17500","16631"
"17.12.2024 00:00 - 17.12.2024 00:15","17250","16539"
"17.12.2024 00:15 - 17.12.2024 00:30","17050","16311"
"17.12.2024 00:30 - 17.12.2024 00:45","16850","16098"
"17.12.2024 00:45 - 17.12.2024 01:00","16700","16081"
"17.12.2024 01:00 - 17.12.2024 01:15","16650","16040"
"17.12.2024 01:15 - 17.12.2024 01:30","16450","15766"
"17.12.2024 01:30 - 17.12.2024 01:45","16350","15772"
"17.12.2024 01:45 - 17.12.2024 02:00","16200","15399"
"17.12.2024 02:00 - 17.12.2024 02:15","16150","15477"
"17.12.2024 02:15 - 17.12.2024 02:30","16150","15445"
"17.12.2024 02:30 - 17.12.2024 02:45","16150","15459"
"17.12.2024 02:45 - 17.12.2024 03:00","16150","15530"
"17.12.2024 03:00 - 17.12.2024 03:15","16150","15379"
"17.12.2024 03:15 - 17.12.2024 03:30","16150","15416"
"17.12.2024 03:30 - 17.12.2024 03:45","16150","15512"
"17.12.2024 03:45 - 17.12.2024 04:00","16250","15569"
"17.12.2024 04:00 - 17.12.2024 04:15","16400","15640"
"17.12.2024 04:15 - 17.12.2024 04:30","16500","15715"
"17.12.2024 04:30 - 17.12.2024 04:45","16700","16087"
"17.12.2024 04:45 - 17.12.2024 05:00","16850","16173"
"17.12.2024 05:00 - 17.12.2024 05:15","17250","16491"
"17.12.2024 05:15 - 17.12.2024 05:30","17500","16685"
"17.12.2024 05:30 - 17.12.2024 05:45","17850","17070"
"17.12.2024 05:45 - 17.12.2024 06:00","18450","17580"
"17.12.2024 06:00 - 17.12.2024 06:15","19750","18960"
"17.12.2024 06:15 - 17.12.2024 06:30","20450","19620"
"17.12.2024 06:30 - 17.12.2024 06:45","21000","20251"
"17.12.2024 06:45 - 17.12.2024 07:00","21500","20702"
"17.12.2024 07:00 - 17.12.2024 07:15","22100","21236"
"17.12.2024 07:15 - 17.12.2024 07:30","22350","21366"
"17.12.2024 07:30 - 17.12.2024 07:45","22550","21332"
"17.12.2024 07:45 - 17.12.2024 08:00","22800","21431"
"17.12.2024 08:00 - 17.12.2024 08:15","23050","21801"
"17.12.2024 08:15 - 17.12.2024 08:30","23250","21954"
"17.12.2024 08:30 - 17.12.2024 08:45","23400","22000"
"17.12.2024 08:45 - 17.12.2024 09:00","23550","22241"
"17.12.2024 09:00 - 17.12.2024 09:15","23600","22112"
"17.12.2024 09:15 - 17.12.2024 09:30","23600","22201"
"17.12.2024 09:30 - 17.12.2024 09:45","23550","22269"
"17.12.2024 09:45 - 17.12.2024 10:00","23250","21799"
"17.12.2024 10:00 - 17.12.2024 10:15","23050","21743"
"17.12.2024 10:15 - 17.12.2024 10:30","23350","22020"
"17.12.2024 10:30 - 17.12.2024 10:45","23550","22231"
"17.12.2024 10:45 - 17.12.2024 11:00","23650","22350"
"17.12.2024 11:00 - 17.12.2024 11:15","23750","22235"
"17.12.2024 11:15 - 17.12.2024 11:30","23800","22419"
"17.12.2024 11:30 - 17.12.2024 11:45","23800","22390"
"17.12.2024 11:45 - 17.12.2024 12:00","23800","22399"
"17.12.2024 12:00 - 17.12.2024 12:15","23850","22557"
"17.12.2024 12:15 - 17.12.2024 12:30","23900","22528"
"17.12.2024 12:30 - 17.12.2024 12:45","23900","22544"
"17.12.2024 12:45 - 17.12.2024 13:00","23950","22730"
"17.12.2024 13:00 - 17.12.2024 13:15","24150","22894"
"17.12.2024 13:15 - 17.12.2024 13:30","24050","22803"
"17.12.2024 13:30 - 17.12.2024 13:45","23700","22488"
"17.12.2024 13:45 - 17.12.2024 14:00","23300","21919"
"17.12.2024 14:00 - 17.12.2024 14:15","23450","22340"
"17.12.2024 14:15 - 17.12.2024 14:30","23600","22350"
"17.12.2024 14:30 - 17.12.2024 14:45","23600","22306"
"17.12.2024 14:45 - 17.12.2024 15:00","23450","22119"
"17.12.2024 15:00 - 17.12.2024 15:15","23400","22222"
"17.12.2024 15:15 - 17.12.2024 15:30","23500","22287"
"17.12.2024 15:30 - 17.12.2024 15:45","23850","22751"
"17.12.2024 15:45 - 17.12.2024 16:00","23900","22732"
"17.12.2024 16:00 - 17.12.2024 16:15","23900","22887"
"17.12.2024 16:15 - 17.12.2024 16:30","23950","22853"
"17.12.2024 16:30 - 17.12.2024 16:45","23950","22781"
"17.12.2024 16:45 - 17.12.2024 17:00","23850","22858"
"17.12.2024 17:00 - 17.12.2024 17:15","23750","22712"
"17.12.2024 17:15 - 17.12.2024 17:30","23650","22771"
"17.12.2024 17:30 - 17.12.2024 17:45","23550","22480"
"17.12.2024 17:45 - 17.12.2024 18:00","23300","22418"
"17.12.2024 18:00 - 17.12.2024 18:15","23200","22045"
"17.12.2024 18:15 - 17.12.2024 18:30","23200","22307"
"17.12.2024 18:30 - 17.12.2024 18:45","23300","22543"
"17.12.2024 18:45 - 17.12.2024 19:00","23250","22507"
"17.12.2024 19:00 - 17.12.2024 19:15","23250","22299"
"17.12.2024 19:15 - 17.12.2024 19:30","23150","22269"
"17.12.2024 19:30 - 17.12.2024 19:45","23050","22381"
"17.12.2024 19:45 - 17.12.2024 20:00","22850","22037"
"17.12.2024 20:00 - 17.12.2024 20:15","22650","21903"
"17.12.2024 20:15 - 17.12.2024 20:30","22500","21760"
"17.12.2024 20:30 - 17.12.2024 20:45","22250","21482"
"17.12.2024 20:45 - 17.12.2024 21:00","21900","21187"
"17.12.2024 21:00 - 17.12.2024 21:15","21500","20494"
"17.12.2024 21:15 - 17.12.2024 21:30","21100","20192"
"17.12.2024 21:30 - 17.12.2024 21:45","20500","19675"
"17.12.2024 21:45 - 17.12.2024 22:00","19850","19072"
"17.12.2024 22:00 - 17.12.2024 22:15","19800","19078"
"17.12.2024 22:15 - 17.12.2024 22:30","19550","18759"
"17.12.2024 22:30 - 17.12.2024 22:45","19200","18420"
"17.12.2024 22:45 - 17.12.2024 23:00","18850","18142"
"17.12.2024 23:00 - 17.12.2024 23:15","18550","17834"
"17.12.2024 23:15 - 17.12.2024 23:30","18200","17421"
"17.12.2024 23:30 - 17.12.2024 23:45","17900","16919"
"17.12.2024 23:45 - 18.12.2024 00:00","17500","16702"
"18.12.2024 00:00 - 18.12.2024 00:15","17100","16578"
"18.12.2024 00:15 - 18.12.2024 00:30","16850","16335"
"18.12.2024 00:30 - 18.12.2024 00:45","16650","16171"
"18.12.2024 00:45 - 18.12.2024 01:00","16450","16030"
"18.12.2024 01:00 - 18.12.2024 01:15","16350","15744"
"18.12.2024 01:15 - 18.12.2024 01:30","16200","15523"
"18.12.2024 01:30 - 18.12.2024 01:45","16100","15584"
"18.12.2024 01:45 - 18.12.2024 02:00","15900","15368"
"18.12.2024 02:00 - 18.12.2024 02:15","15850","15438"
"18.12.2024 02:15 - 18.12.2024 02:30","15900","15262"
"18.12.2024 02:30 - 18.12.2024 02:45","15900","15493"
"18.12.2024 02:45 - 18.12.2024 03:00","15900","15305"
"18.12.2024 03:00 - 18.12.2024 03:15","15900","15488"
"18.12.2024 03:15 - 18.12.2024 03:30","15900","15366"
"18.12.2024 03:30 - 18.12.2024 03:45","15850","15576"
"18.12.2024 03:45 - 18.12.2024 04:00","16000","15536"
"18.12.2024 04:00 - 18.12.2024 04:15","16150","15667"
"18.12.2024 04:15 - 18.12.2024 04:30","16200","15781"
"18.12.2024 04:30 - 18.12.2024 04:45","16400","15932"
"18.12.2024 04:45 - 18.12.2024 05:00","16550","16020"
"18.12.2024 05:00 - 18.12.2024 05:15","16950","16532"
"18.12.2024 05:15 - 18.12.2024 05:30","17250","16852"
"18.12.2024 05:30 - 18.12.2024 05:45","17750","17129"
"18.12.2024 05:45 - 18.12.2024 06:00","18400","17696"
"18.12.2024 06:00 - 18.12.2024 06:15","19600","18920"
"18.12.2024 06:15 - 18.12.2024 06:30","20250","19598"
"18.12.2024 06:30 - 18.12.2024 06:45","20800","20152"
"18.12.2024 06:45 - 18.12.2024 07:00","21350","20625"
"18.12.2024 07:00 - 18.12.2024 07:15","21850","21184"
"18.12.2024 07:15 - 18.12.2024 07:30","22000","21216"
"18.12.2024 07:30 - 18.12.2024 07:45","22200","21273"
"18.12.2024 07:45 - 18.12.2024 08:00","22400","21466"
"18.12.2024 08:00 - 18.12.2024 08:15","22750","21676"
"18.12.2024 08:15 - 18.12.2024 08:30","22950","21748"
"18.12.2024 08:30 - 18.12.2024 08:45","23050","21848"
"18.12.2024 08:45 - 18.12.2024 09:00","23150","21874"
"18.12.2024 09:00 - 18.12.2024 09:15","23200","22003"
"18.12.2024 09:15 - 18.12.2024 09:30","23200","21846"
"18.12.2024 09:30 - 18.12.2024 09:45","23150","21748"
"18.12.2024 09:45 - 18.12.2024 10:00","22900","21470"
"18.12.2024 10:00 - 18.12.2024 10:15","22750","21416"
"18.12.2024 10:15 - 18.12.2024 10:30","22950","21441"
"18.12.2024 10:30 - 18.12.2024 10:45","23100","21649"
"18.12.2024 10:45 - 18.12.2024 11:00","23200","21698"
"18.12.2024 11:00 - 18.12.2024 11:15","23200","21630"
"18.12.2024 11:15 - 18.12.2024 11:30","23200","21588"
"18.12.2024 11:30 - 18.12.2024 11:45","23200","21786"
"18.12.2024 11:45 - 18.12.2024 12:00","23200","21572"
"18.12.2024 12:00 - 18.12.2024 12:15","23250","21673"
"18.12.2024 12:15 - 18.12.2024 12:30","23300","21606"
"18.12.2024 12:30 - 18.12.2024 12:45","23300","21606"
"18.12.2024 12:45 - 18.12.2024 13:00","23400","21667"
"18.12.2024 13:00 - 18.12.2024 13:15","23500","21882"
"18.12.2024 13:15 - 18.12.2024 13:30","23450","21966"
"18.12.2024 13:30 - 18.12.2024 13:45","23200","21811"
"18.12.2024 13:45 - 18.12.2024 14:00","22850","21308"
"18.12.2024 14:00 - 18.12.2024 14:15","23050","21659"
"18.12.2024 14:15 - 18.12.2024 14:30","23150","21861"
"18.12.2024 14:30 - 18.12.2024 14:45","23150","21881"
"18.12.2024 14:45 - 18.12.2024 15:00","23000","21648"
"18.12.2024 15:00 - 18.12.2024 15:15","22950","21845"
"18.12.2024 15:15 - 18.12.2024 15:30","23050","22019"
"18.12.2024 15:30 - 18.12.2024 15:45","23400","22171"
"18.12.2024 15:45 - 18.12.2024 16:00","23450","22480"
"18.12.2024 16:00 - 18.12.2024 16:15","23600","22662"
"18.12.2024 16:15 - 18.12.2024 16:30","23700","22736"
"18.12.2024 16:30 - 18.12.2024 16:45","23650","22577"
"18.12.2024 16:45 - 18.12.2024 17:00","23550","22471"
"18.12.2024 17:00 - 18.12.2024 17:15","23500","22638"
"18.12.2024 17:15 - 18.12.2024 17:30","23400","22449"
"18.12.2024 17:30 - 18.12.2024 17:45","23300","22369"
"18.12.2024 17:45 - 18.12.2024 18:00","23050","22046"
"18.12.2024 18:00 - 18.12.2024 18:15","22950","22066"
"18.12.2024 18:15 - 18.12.2024 18:30","22950","22033"
"18.12.2024 18:30 - 18.12.2024 18:45","23050","22202"
"18.12.2024 18:45 - 18.12.2024 19:00","23000","22293"
"18.12.2024 19:00 - 18.12.2024 19:15","23000","22075"
"18.12.2024 19:15 - 18.12.2024 19:30","23000","21853"
"18.12.2024 19:30 - 18.12.2024 19:45","22900","21951"
"18.12.2024 19:45 - 18.12.2024 20:00","22750","21677"
"18.12.2024 20:00 - 18.12.2024 20:15","22600","21648"
"18.12.2024 20:15 - 18.12.2024 20:30","22350","21305"
"18.12.2024 20:30 - 18.12.2024 20:45","22100","21175"
"18.12.2024 20:45 - 18.12.2024 21:00","21750","20778"
"18.12.2024 21:00 - 18.12.2024 21:15","21350","20251"
"18.12.2024 21:15 - 18.12.2024 21:30","20950","19876"
"18.12.2024 21:30 - 18.12.2024 21:45","20350","19432"
"18.12.2024 21:45 - 18.12.2024 22:00","19700","18811"
"18.12.2024 22:00 - 18.12.2024 22:15","19650","18804"
"18.12.2024 22:15 - 18.12.2024 22:30","19400","18480"
"18.12.2024 22:30 - 18.12.2024 22:45","19050","18004"
"18.12.2024 22:45 - 18.12.2024 23:00","18700","17843"
"18.12.2024 23:00 - 18.12.2024 23:15","18400","17348"
"18.12.2024 23:15 - 18.12.2024 23:30","18050","17214"
"18.12.2024 23:30 - 18.12.2024 23:45","17700","16865"
"18.12.2024 23:45 - 19.12.2024 00:00","17350","16477"
"19.12.2024 00:00 - 19.12.2024 00:15","16700","16326"
"19.12.2024 00:15 - 19.12.2024 00:30","16450","15937"
"19.12.2024 00:30 - 19.12.2024 00:45","16250","15940"
"19.12.2024 00:45 - 19.12.2024 01:00","16050","15770"
"19.12.2024 01:00 - 19.12.2024 01:15","15800","15788"
"19.12.2024 01:15 - 19.12.2024 01:30","15650","15746"
"19.12.2024 01:30 - 19.12.2024 01:45","15500","15648"
"19.12.2024 01:45 - 19.12.2024 02:00","15450","15538"
"19.12.2024 02:00 - 19.12.2024 02:15","15450","15440"
"19.12.2024 02:15 - 19.12.2024 02:30","15450","15422"
"19.12.2024 02:30 - 19.12.2024 02:45","15450","15466"
"19.12.2024 02:45 - 19.12.2024 03:00","15450","15438"
"19.12.2024 03:00 - 19.12.2024 03:15","15450","15591"
