"Time (CET/CEST)","Day-ahead Total Load Forecast [MW] - BZN|PL","Actual Total Load [MW] - BZN|PL"
"15.01.2024 09:00 - 15.01.2024 10:00","25057","25519"
"15.01.2024 10:00 - 15.01.2024 11:00","25127","25439"
"15.01.2024 11:00 - 15.01.2024 12:00","25372","25562"
"15.01.2024 12:00 - 15.01.2024 13:00","25564","25902"
"15.01.2024 13:00 - 15.01.2024 14:00","25777","25906"
"15.01.2024 14:00 - 15.01.2024 15:00","25350","25461"
"15.01.2024 15:00 - 15.01.2024 16:00","25206","25163"
"15.01.2024 16:00 - 15.01.2024 17:00","25660","25628"
"15.01.2024 17:00 - 15.01.2024 18:00","25676","25507"
"15.01.2024 18:00 - 15.01.2024 19:00","25250","25236"
"15.01.2024 19:00 - 15.01.2024 20:00","25228","25026"
"15.01.2024 20:00 - 15.01.2024 21:00","24810","24409"
"15.01.2024 21:00 - 15.01.2024 22:00","23490","23038"
"15.01.2024 22:00 - 15.01.2024 23:00","21764","21573"
"15.01.2024 23:00 - 16.01.2024 00:00","20485","20210"
"16.01.2024 00:00 - 16.01.2024 01:00","19345","19026"
"16.01.2024 01:00 - 16.01.2024 02:00","18880","18693"
"16.01.2024 02:00 - 16.01.2024 03:00","18713","18339"
"16.01.2024 03:00 - 16.01.2024 04:00","18796","18351"
"16.01.2024 04:00 - 16.01.2024 05:00","19431","18952"
"16.01.2024 05:00 - 16.01.2024 06:00","20913","19999"
"16.01.2024 06:00 - 16.01.2024 07:00","24192","22626"
"16.01.2024 07:00 - 16.01.2024 08:00","25212","24783"
"16.01.2024 08:00 - 16.01.2024 09:00","26025","25977"
"16.01.2024 09:00 - 16.01.2024 10:00","26261","26565"
"16.01.2024 10:00 - 16.01.2024 11:00","26256","26503"
"16.01.2024 11:00 - 16.01.2024 12:00","26183","26632"
"16.01.2024 12:00 - 16.01.2024 13:00","26284","26500"
"16.01.2024 13:00 - 16.01.2024 14:00","26507","26444"
"16.01.2024 14:00 - 16.01.2024 15:00","26105","25970"
"16.01.2024 15:00 - 16.01.2024 16:00","26069","25862"
"16.01.2024 16:00 - 16.01.2024 17:00","26799","26397"
"16.01.2024 17:00 - 16.01.2024 18:00","26804","26581"
"16.01.2024 18:00 - 16.01.2024 19:00","26352","26165"
"16.01.2024 19:00 - 16.01.2024 20:00","26192","26001"
"16.01.2024 20:00 - 16.01.2024 21:00","25627","25373"
"16.01.2024 21:00 - 16.01.2024 22:00","24156","23798"
"16.01.2024 22:00 - 16.01.2024 23:00","22183","22246"
"16.01.2024 23:00 - 17.01.2024 00:00","20911","20842"
"17.01.2024 00:00 - 17.01.2024 01:00","19641","19864"
"17.01.2024 01:00 - 17.01.2024 02:00","19132","19369"
"17.01.2024 02:00 - 17.01.2024 03:00","18873","19174"
"17.01.2024 03:00 - 17.01.2024 04:00","18961","19020"
"17.01.2024 04:00 - 17.01.2024 05:00","19546","19347"
"17.01.2024 05:00 - 17.01.2024 06:00","20969","20335"
"17.01.2024 06:00 - 17.01.2024 07:00","24185","23091"
"17.01.2024 07:00 - 17.01.2024 08:00","25186","25121"
"17.01.2024 08:00 - 17.01.2024 09:00","25862","26149"
"17.01.2024 09:00 - 17.01.2024 10:00","25878","26695"
"17.01.2024 10:00 - 17.01.2024 11:00","25833","26389"
"17.01.2024 11:00 - 17.01.2024 12:00","25806","26490"
"17.01.2024 12:00 - 17.01.2024 13:00","25870","26567"
"17.01.2024 13:00 - 17.01.2024 14:00","26243","26294"
"17.01.2024 14:00 - 17.01.2024 15:00","25807","25716"
"17.01.2024 15:00 - 17.01.2024 16:00","25659","25494"
"17.01.2024 16:00 - 17.01.2024 17:00","26531","25905"
"17.01.2024 17:00 - 17.01.2024 18:00","26498","25981"
"17.01.2024 18:00 - 17.01.2024 19:00","26074","25601"
"17.01.2024 19:00 - 17.01.2024 20:00","26006","25319"
"17.01.2024 20:00 - 17.01.2024 21:00","25445","24681"
"17.01.2024 21:00 - 17.01.2024 22:00","24085","23311"
"17.01.2024 22:00 - 17.01.2024 23:00","22175","21726"
"17.01.2024 23:00 - 18.01.2024 00:00","20960","20388"
"18.01.2024 00:00 - 18.01.2024 01:00","19591","19382"
"18.01.2024 01:00 - 18.01.2024 02:00","19059","18766"
"18.01.2024 02:00 - 18.01.2024 03:00","18671","18464"
"18.01.2024 03:00 - 18.01.2024 04:00","18879","18359"
"18.01.2024 04:00 - 18.01.2024 05:00","19537","18615"
"18.01.2024 05:00 - 18.01.2024 06:00","21046","19552"
"18.01.2024 06:00 - 18.01.2024 07:00","24299","22305"
"18.01.2024 07:00 - 18.01.2024 08:00","25253","24184"
"18.01.2024 08:00 - 18.01.2024 09:00","26135","25183"
"18.01.2024 09:00 - 18.01.2024 10:00","26438","25607"
"18.01.2024 10:00 - 18.01.2024 11:00","26484","25548"
"18.01.2024 11:00 - 18.01.2024 12:00","26434","25900"
"18.01.2024 12:00 - 18.01.2024 13:00","26381","26127"
"18.01.2024 13:00 - 18.01.2024 14:00","26612","26109"
"18.01.2024 14:00 - 18.01.2024 15:00","26020","25573"
"18.01.2024 15:00 - 18.01.2024 16:00","25802","25383"
"18.01.2024 16:00 - 18.01.2024 17:00","26616","25744"
"18.01.2024 17:00 - 18.01.2024 18:00","26593","25900"
"18.01.2024 18:00 - 18.01.2024 19:00","26069","25473"
"18.01.2024 19:00 - 18.01.2024 20:00","25899","25332"
"18.01.2024 20:00 - 18.01.2024 21:00","25328","24633"
"18.01.2024 21:00 - 18.01.2024 22:00","24054","23195"
